date,open,high,low,close,volume,symbol
2000-12-31,12.6303,12.9076,12.4704,12.7249,11237186,SBIN
2001-01-01,12.8946,13.6385,12.7347,13.4297,21367159,SBIN
2001-01-02,13.4427,14.3857,13.384,14.1801,59167521,SBIN
2001-01-03,14.2519,14.4216,13.6548,13.8767,29457229,SBIN
2001-01-04,13.8799,14.2519,13.7462,14.0268,29628333,SBIN
2001-01-07,13.8995,14.2062,13.7853,13.8832,13834426,SBIN
2001-01-08,13.8506,14.0235,13.5993,13.6679,12462490,SBIN
2001-01-09,13.7364,14.4705,13.7037,14.1442,32865495,SBIN
2001-01-10,14.1932,14.3172,13.9387,14.079,27410883,SBIN
2001-01-11,14.1932,14.6434,14.0953,14.4118,41641168,SBIN
2001-01-14,14.539,14.7413,14.2715,14.402,34162117,SBIN
2001-01-15,14.5129,14.6108,14.2258,14.4999,26929908,SBIN
2001-01-16,14.5521,14.5521,14.1344,14.2258,16045082,SBIN
2001-01-17,14.1344,14.3824,13.9713,14.278,15326190,SBIN
2001-01-18,14.353,14.402,14.2258,14.3302,10512020,SBIN
2001-01-21,14.402,14.6206,14.3074,14.3498,13912845,SBIN
2001-01-22,14.3955,15.4004,14.3563,14.8261,31829503,SBIN
2001-01-23,15.1394,15.1394,14.6402,14.7511,19080055,SBIN
2001-01-24,14.8261,15.433,14.8164,15.2797,56142320,SBIN
2001-01-25,15.2797,15.2797,15.2797,15.2797,0,SBIN
2001-01-28,15.2046,15.2046,14.3563,14.9436,26620577,SBIN
2001-01-29,15.0578,15.1067,14.8784,15.0154,22795278,SBIN
2001-01-30,14.9436,15.4657,14.6891,15.0415,48728123,SBIN
2001-01-31,14.9501,15.3254,14.7283,14.8881,40833374,SBIN
2001-02-01,14.7087,15.433,14.6989,15.3025,39106958,SBIN
2001-02-04,15.3351,15.8409,15.2046,15.6386,36489697,SBIN
2001-02-05,15.7267,15.7593,15.358,15.3939,27776185,SBIN
2001-02-06,15.4983,15.6941,15.1753,15.5015,30459083,SBIN
2001-02-07,15.5048,16.1835,15.4069,16.0791,48161225,SBIN
2001-02-08,16.1835,17.0905,16.1541,16.7512,69484061,SBIN
2001-02-11,16.7708,16.836,16.0856,16.1998,26833991,SBIN
2001-02-12,16.314,16.575,15.8735,16.0334,28600057,SBIN
2001-02-13,15.7267,16.2389,15.4885,15.9583,52075595,SBIN
2001-02-14,16.0856,16.3303,15.8637,15.9649,36990226,SBIN
2001-02-15,15.9747,16.1019,15.2046,15.3482,25753845,SBIN
2001-02-18,15.4983,15.8539,15.4983,15.6418,27932387,SBIN
2001-02-19,15.5374,15.7006,15.3384,15.4102,22365632,SBIN
2001-02-20,15.3351,16.6207,15.2699,15.5831,37819768,SBIN
2001-02-21,15.4135,15.7267,15.0121,15.1426,25937784,SBIN
2001-02-22,15.2699,15.3351,14.3889,14.5227,22048373,SBIN
2001-02-25,14.3563,14.6434,14.1605,14.5162,15412081,SBIN
2001-02-26,14.5521,15.0121,14.4346,14.5716,31056367,SBIN
2001-02-27,14.8131,16.3662,14.7609,16.0203,71897680,SBIN
2001-02-28,16.2487,17.5832,16.2487,17.0579,73527384,SBIN
2001-03-01,17.2928,18.0041,17.1166,17.3026,62208514,SBIN
2001-03-04,17.4233,17.5473,16.6403,17.071,44423798,SBIN
2001-03-05,17.071,17.071,17.071,17.071,0,SBIN
2001-03-06,17.2276,17.3255,16.5881,17.159,38814436,SBIN
2001-03-07,17.2928,17.5473,16.9829,17.0971,16204379,SBIN
2001-03-08,17.0122,17.1623,16.4837,16.9568,14988094,SBIN
2001-03-11,16.8099,16.9829,15.6875,16.0073,11301499,SBIN
2001-03-12,15.8246,15.8246,14.5521,14.8816,13193041,SBIN
2001-03-13,15.0056,15.6614,14.6826,15.4298,7697222,SBIN
2001-03-14,15.0806,15.5309,14.9599,15.4298,4656145,SBIN
2001-03-15,15.3351,16.1835,15.0154,15.234,8150556,SBIN
2001-03-18,15.0154,15.5309,15.0089,15.1981,1827717,SBIN
2001-03-19,15.3221,15.4004,14.9469,15.0937,3275030,SBIN
2001-03-20,14.8131,15.5799,14.8131,15.4852,4055766,SBIN
2001-03-21,15.4657,15.9714,14.6565,14.7283,6883557,SBIN
2001-03-22,14.8784,14.9371,14.1932,14.3269,5129065,SBIN
2001-03-25,14.3563,14.3889,13.7103,13.8897,3751247,SBIN
2001-03-26,13.769,13.8408,13.4819,13.57,5117608,SBIN
2001-03-27,13.7037,13.9648,13.7037,13.831,2645792,SBIN
2001-03-28,13.7168,14.3237,13.6711,14.0953,10017139,SBIN
2001-03-29,14.1279,14.1866,13.0577,13.1197,6757614,SBIN
2001-04-01,12.9859,12.9859,12.0952,12.6499,3945985,SBIN
2001-04-02,12.6074,13.1458,12.5944,12.9761,6004509,SBIN
2001-04-03,12.5944,12.9207,12.4737,12.8261,2212447,SBIN
2001-04-04,12.8261,12.8261,12.8261,12.8261,0,SBIN
2001-04-05,12.9859,13.6059,12.9207,13.0055,6481075,SBIN
2001-04-08,12.9859,13.1752,12.6955,12.9859,3416161,SBIN
2001-04-09,13.0675,13.2992,12.8783,13.1001,4426314,SBIN
